189	139	244	910	132	179	0	0	1	105.101
1175	128	257	387	132	165	0	0	1	106.711
627	121	179	423	147	1	165	147	1	103.253
931	143	244	287	125	165	0	0	0	105.788
376	118	185	702	143	107	0	0	1	105.978
436	143	210	209	125	151	507	139	1	106.445
741	136	165	474	154	185	0	0	1	100.644
303	154	230	693	143	165	0	0	165	106.11
855	136	210	426	128	165	0	0	1	105.077
632	143	237	793	128	151	0	0	1	103.903
164	121	165	675	128	1	376	150	1	104.738
861	121	165	332	161	179	0	0	1	105.613
453	150	145	851	128	185	0	0	145	106.702
903	139	179	489	115	1	235	164	1	107.415
61	112	179	2395	118	151	1246	115	1	-37.6332
974	143	179	598	118	1	111	150	1	105.626
1081	136	230	487	143	172	0	0	0	103.725
388	139	251	1047	132	158	0	0	158	105.147
2105	118	230	396	143	151	0	0	151	21.3614
920	132	179	383	157	165	0	0	1	106.457
771	136	210	667	136	113	0	0	1	103.946
837	154	210	383	132	165	0	0	0	103.931
111	115	179	628	143	151	402	132	1	102.656
1357	147	316	1179	118	172	0	0	172	31.3463
841	139	172	443	150	158	0	0	1	105.443
496	143	158	445	121	1	267	132	1	105.661
1438	112	244	1317	112	113	0	0	1	-26.4181
767	125	237	537	147	165	0	0	0	106.089
770	132	165	135	139	210	388	136	1	106.377
694	143	172	630	118	100	0	0	1	106.572
168	150	172	837	121	1	667	147	1	104.268
36	125	138	2648	139	1	0	0	1	10.4019
464	147	185	861	136	100	0	0	185	98.9447
622	147	138	85	118	1	0	0	1	90.5485
4	121	100	1938	154	1	0	0	1	33.2527
205	143	165	689	143	1	460	118	1	106.343
2729	112	230	548	139	113	0	0	113	-16.2338
909	143	172	384	121	100	0	0	1	103.555
338	125	230	146	125	107	3081	115	1	-41.719
505	147	210	588	128	138	0	0	1	107.048
151	147	165	666	147	1	641	121	1	104.797
11	121	165	984	147	1	123	128	1	104.566
911	136	165	175	125	185	0	0	1	103.428
562	121	179	874	147	107	0	0	179	104.641
1053	132	179	61	112	185	353	143	1	104.912
1082	128	185	510	150	1	142	128	1	105.057
2168	112	329	1318	121	165	0	0	1	-38.2596
1747	136	237	0	0	172	0	0	158	106.093
256	143	251	948	132	158	0	0	1	102.63
1520	139	185	84	132	172	0	0	1	106.174
586	118	185	654	139	100	0	0	1	107.498
923	136	165	392	147	179	0	0	1	105.287
499	132	158	42	161	185	992	128	1	105.111
59	132	158	349	136	1	0	0	1	84.5441
167	118	165	866	150	1	529	125	1	105.507
242	164	179	890	136	107	0	0	179	106.753
517	147	257	720	121	172	0	0	172	105.254
776	139	316	994	118	179	0	0	179	94.8102
843	143	185	209	128	100	0	0	100	102.403
2814	112	28	1497	136	107	0	0	107	-126.557
1661	121	165	1106	112	86	0	0	165	-25.4056
663	132	244	969	136	185	0	0	185	106.063
792	143	172	564	132	1	157	125	1	105.796
985	136	230	420	139	172	0	0	1	104.014
1023	128	185	78	136	179	489	147	1	104.761
709	136	251	851	132	158	0	0	158	106.384
2614	154	289	1042	121	1	0	0	0	-173.574
1779	157	21	706	112	185	0	0	1	18.474
1618	136	230	0	0	179	0	0	158	106.039
602	150	223	581	128	165	0	0	1	103.453
117	112	158	765	139	1	0	0	1	106.858
221	118	179	2128	128	1	0	0	1	-24.8527
196	128	138	160	121	185	992	139	1	106.625
380	128	165	341	143	210	628	147	1	102.872
3205	125	185	31	139	113	0	0	113	-12.6495
112	125	172	927	136	1	211	147	1	104.323
930	139	172	580	132	107	0	0	1	104.422
2670	128	223	174	150	158	0	0	158	5.96935
849	136	165	527	150	179	0	0	1	105.264
211	121	158	52	139	223	3290	118	1	-33.6499
1306	128	158	375	157	185	0	0	158	106.391
955	121	35	439	139	165	0	0	1	86.559
3044	118	223	360	128	107	0	0	107	-23.9334
809	150	179	510	121	1	194	143	1	102.432
43	125	179	670	128	151	490	143	1	105.875
534	136	230	967	132	179	0	0	1	107.01
455	154	145	3	125	217	2626	112	1	-0.179544
27	128	158	344	143	172	1010	128	1	105.932
166	157	158	666	143	172	679	118	1	106.595
680	147	165	833	121	100	0	0	1	105.786
35	125	179	465	132	151	889	143	1	103.202
217	161	165	886	143	1	159	121	1	101.62
152	132	172	2761	112	251	553	128	1	-17.9013
572	150	244	562	121	165	0	0	1	104.815
702	139	185	742	118	107	0	0	1	106.872
1473	136	185	314	121	1	280	147	1	77.3419
343	143	230	632	128	165	0	0	1	102.737
264	118	165	783	150	1	278	125	1	105.506
143	121	151	160	154	217	1940	121	1	44.3957
75	121	100	172	161	179	854	143	1	102.447
1655	115	41	1678	112	145	0	0	1	-25.9982
266	139	172	921	143	1	258	118	1	106.485
276	121	165	763	147	1	91	128	1	104.024
150	143	179	888	143	100	0	0	1	106.266
573	150	179	667	143	165	0	0	1	105.362
347	143	237	798	125	165	0	0	1	103.765
935	139	172	392	115	1	157	147	1	105.867
12	143	172	1079	143	1	0	0	1	102.667
192	112	172	1030	147	1	356	128	1	107.346
1011	139	172	321	125	1	244	157	1	102.776
1109	128	316	588	125	172	0	0	1	59.5642
6050	115	316	126	157	158	5324	136	1	-166.612
344	139	165	373	125	1	417	139	1	103.229
386	118	179	26	139	172	756	143	1	101.748
895	132	172	99	139	223	329	136	1	106.692
123	136	172	757	147	1	539	121	1	104.801
620	121	145	469	154	165	0	0	1	105.14
641	143	165	574	118	282	64	157	1	105.147
719	128	210	601	147	138	0	0	1	105.188
167	132	113	163	125	172	924	147	1	103.245
848	143	185	45	132	145	360	128	1	103.707
870	128	223	628	150	158	0	0	1	101.977
755	143	165	491	125	185	0	0	185	106.626
630	147	185	407	118	1	187	128	1	106.421
95	128	158	1025	132	1	0	0	1	105.244
816	150	179	807	125	113	0	0	1	104.95
681	154	230	410	128	172	0	0	0	102.805
151	136	172	1152	128	1	373	136	1	107.039
622	143	179	1023	121	86	0	0	179	105.61
913	150	165	440	132	145	0	0	145	102.1
595	125	151	12	139	244	1291	143	1	57.5892
334	136	217	778	139	158	0	0	1	102.833
14	128	107	1945	150	179	281	112	1	36.1995
500	125	165	615	136	179	0	0	1	105.68
910	121	179	421	143	1	190	150	1	106.845
