2079	122.58	191.93	732	147.04	157.57	-11.9921
1808	122.58	191.93	492	154.22	132.07	-173.495
1896	116.54	191.93	1017	150.66	140.24	-20.6433
923	164.36	255.76	1642	119.49	175.22	-15.8746
1987	143.4	220.78	764	113.75	148.78	-38.5452
2124	119.49	140.24	271	125.8	175.22	-188.02
1129	164.36	229.57	1443	116.54	157.57	-17.4529
1307	143.4	183.76	686	116.54	157.57	-174.44
1681	147.04	247.22	935	113.75	148.78	-57.069
682	164.36	255.76	2191	122.58	166.43	-14.4858
2231	129.15	175.22	558	150.66	175.22	-14.9855
3473	119.49	183.76	353	143.4	148.78	-257.825
2277	129.15	183.76	557	150.66	157.57	-17.7377
1571	113.75	183.76	904	154.22	157.57	-11.158
2083	147.04	148.78	708	116.54	191.93	-13.6682
2520	139.76	220.78	799	113.75	140.24	-210.34
1807	154.22	148.78	979	116.54	191.93	-13.8797
2427	147.04	166.43	419	116.54	183.76	-17.8049
1969	129.15	191.93	592	143.4	148.78	-13.3508
90	119.49	220.78	1294	113.75	157.57	-187.712
1522	164.36	132.07	762	116.54	183.76	-16.5982
503	136.15	238.43	3385	113.75	148.78	-102.806
566	147.04	263.93	1689	113.75	148.78	-167.032
424	147.04	140.24	504	132.61	191.93	-143.022
1563	161.09	148.78	977	113.75	183.76	-15.2696
1982	119.49	183.76	544	129.15	148.78	-179.777
2014	122.58	175.22	692	161.09	140.24	-186.344
2325	147.04	157.57	568	119.49	191.93	-18.2921
2241	136.15	191.93	628	125.8	157.57	-12.8422
1033	132.61	212.24	267	113.75	140.24	-165.583
1952	122.58	166.43	905	154.22	166.43	-196.384
1264	113.75	132.07	1326	164.36	183.76	-15.2777
1210	132.61	157.57	960	113.75	191.93	-179.38
1869	116.54	183.76	841	147.04	140.24	-14.5315
2295	113.75	175.22	621	139.76	175.22	-178.782
2452	147.04	191.93	402	122.58	166.43	-21.5164
2214	125.8	191.93	537	150.66	157.57	-14.4492
2370	147.04	132.07	505	122.58	183.76	-204.96
2459	129.15	191.93	442	143.4	148.78	-22.4905
4413	150.66	140.24	1135	125.8	191.93	127.964
1747	143.4	132.07	880	119.49	191.93	-12.9692
2171	129.15	183.76	573	147.04	148.78	-15.1084
2067	125.8	183.76	539	150.66	140.24	-17.4144
2272	125.8	175.22	402	150.66	175.22	-15.8944
2014	147.04	148.78	800	116.54	183.76	-13.4811
2097	122.58	191.93	745	143.4	140.24	-16.9516
1891	139.76	212.24	992	113.75	148.78	-14.4797
